ABX;6809;H=• N=• Z=• V=• C=•;Add B into X (Unsigned);IX' ← IX + ACCB!!Add the 8-bit unsigned value in accumulator B into index register X.
ADCA;6809;H=↕ N=↕ Z=↕ V=↕ C=↕;Add Memory with Carry into A;R' ← R + M + C!!Adds the contents of the C (carry) bit and the memory byte into an 8-blt accumulator.
ADCB;6809;H=↕ N=↕ Z=↕ V=↕ C=↕;Add Memory with Carry into B;R' ← R + M + C!!Adds the contents of the C (carry) bit and the memory byte into an 8-blt accumulator.
ADCD;6309;H=• N=↕ Z=↕ V=↕ C=↕;Add Memory with Carry into D;R' ← R + M:M+1 + C!!Adds the contents of the C (carry) bit and the 16-bit memory value into the 16-blt accumulator.
ADCR;6309;H=• N=↕ Z=↕ V=↕ C=↕;Add Register with Carry into Register;R1' ← R1 + R0 + C!!Adds the contents of the C (carry) bit and the contents of register R0 into the register R1.
ADDA;6809;H=↕ N=↕ Z=↕ V=↕ C=↕;Add Memory into A;R' ← R + M!!Adds the memory byte into an 8-bit accumulator.
ADDB;6809;H=↕ N=↕ Z=↕ V=↕ C=↕;Add Memory into B;R' ← R + M!!Adds the memory byte into an 8-bit accumulator.
ADDD;6809;H=• N=↕ Z=↕ V=↕ C=↕;Add Memory into D;R' ← R + M:M+1!!Adds the 16-bit memory value into the 16-bit accumulator.
ADDE;6309;H=↕ N=↕ Z=↕ V=↕ C=↕;Add Memory into E;R' ← R + M!!Adds the memory byte into an 8-bit accumulator.
ADDF;6309;H=↕ N=↕ Z=↕ V=↕ C=↕;Add Memory into F;R' ← R + M!!Adds the memory byte into an 8-bit accumulator.
ADDR;6309;H=• N=↕ Z=↕ V=↕ C=↕;Add Register into Register;R1' ← R1 + R0!!Adds the contents of register R1 and the contents of register R0 into a register R1.
ADDW;6309;H=• N=↕ Z=↕ V=↕ C=↕;Add Memory into W;R' ← R + M:M+1!!Adds the 16-bit memory value into the 16-bit accumulator.
AIM;6309;H=• N=↕ Z=↕ V=0 C=•;Logical AND of Value with Memory;M' ← M ∩ I!!Performs the logical AND operation between the contents of memory location M and the immediate value and the result is stored in memory location M.
ANDA;6809;H=• N=↕ Z=↕ V=0 C=•;Logical AND Memory into A;R' ← R ∩ M!!Performs the logical AND operation between the contents of an accumulator and the contents of memory location M and the result is stored in the accumulator.
ANDB;6809;H=• N=↕ Z=↕ V=0 C=•;Logical AND Memory into B;R' ← R ∩ M!!Performs the logical AND operation between the contents of an accumulator and the contents of memory location M and the result is stored in the accumulator.
ANDD;6309;H=• N=↕ Z=↕ V=0 C=•;Logical AND Memory into D;R' ← R ∩ M:M+1!!Performs the logical AND operation between the contents of an accumulator and the contents of memory location M and the result is stored in the accumulator.
ANDR;6309;H=• N=↕ Z=↕ V=0 C=•;Logical AND Memory into R;R1' ← R1 ∩ R0!!Performs the logical AND operation between the contents of register R1 and the contents of register R0 and the result is stored in the register R1.
ANDCC;6809;Condition Codes set as a direct reseult of the instruction;Logical AND Immediate Byte into CC;R' ← R ∩ IMMI!!Performs a logical AND between the condition code register and the Immediate byte specified In the instruction and places the result in the condition code register.
ASL;6809;H=? N=↕ Z=↕ V=↕ C=↕ — Value of half-carry flag is undefined;Arithmetic Memory Shift Left;C ←□□□□□□□□← 0!!Shifts all bits of the operand one place to the left. Bit zero is loaded with a zero. Bit seven is shifted into the C (carry) bit.
ASLA;6809;H=? N=↕ Z=↕ V=↕ C=↕ — Value of half-carry flag is undefined;Arithmetic A Shift Left;C ←□□□□□□□□← 0!!Shifts all bits of the operand one place to the left. Bit zero is loaded with a zero. Bit seven is shifted into the C (carry) bit.
ASLB;6809;H=? N=↕ Z=↕ V=↕ C=↕ — Value of half-carry flag is undefined;Arithmetic B Shift Left;C ←□□□□□□□□← 0!!Shifts all bits of the operand one place to the left. Bit zero is loaded with a zero. Bit seven is shifted into the C (carry) bit.
ASLD;6309;H=• N=↕ Z=↕ V=↕ C=↕;Arithmetic D Shift Left;C ←□□□□□□□□□□□□□□□□← 0!!Shifts all bits of the operand one place to the left. Bit zero is loaded with a zero. Bit fifteen is shifted into the C (carry) bit.
ASR;6809;H=? N=↕ Z=↕ V=• C=↕ — Value of half-carry flag is undefined;Arithmetic Memory Shift Right;b7 →□□□□□□□□→ C!!Shifts all bits of the operand one place to the right. Bit seven is held constant. Bit zero is shifted into the C (carry) bit.
ASRA;6809;H=? N=↕ Z=↕ V=• C=↕ — Value of half-carry flag is undefined;Arithmetic A Shift Right;b7 →□□□□□□□□→ C!!Shifts all bits of the operand one place to the right. Bit seven is held constant. Bit zero is shifted into the C (carry) bit.
ASRB;6809;H=? N=↕ Z=↕ V=• C=↕ — Value of half-carry flag is undefined;Arithmetic B Shift Right;b7 →□□□□□□□□→ C!!Shifts all bits of the operand one place to the right. Bit seven is held constant. Bit zero is shifted into the C (carry) bit.
ASRD;6309;H=• N=↕ Z=↕ V=• C=↕;Arithmetic D Shift Right;b7 →□□□□□□□□□□□□□□□□→ C!!Shifts all bits of the operand one place to the right. Bit fifteen is held constant. Bit zero is shifted into the C (carry) bit.
BCC;6809;H=• N=• Z=• V=• C=•;Branch if Carry Clear (C=0) (Unsigned);TEMP ← MI  !IFF C = 0 then PC' ← PC + TEMP!!Tests the state of the C (carry) bit and causes a branch If it Is clear.!!Equivalent to BHS.
BCS;6809;H=• N=• Z=• V=• C=•;Branch if Carry Set (C=1) (Unsigned);TEMP ← MI  !IFF C = 1 then PC' ← PC + TEMP!!Tests the state of the C (carry) bit and causes a branch If it is set.!!Equivalent to BLO.
BEQ;6809;H=• N=• Z=• V=• C=•;Branch if Equal (Z=1);TEMP ← MI  !IFF Z = 1 then PC' ← PC + TEMP!!Tests the state of the Z (zero) bit and causes a branch if it is set. When used after a subtract or compare operation, this Instruction will branch If the compared values, signed or unsigned, were exactly the same.
BGE;6809;H=• N=• Z=• V=• C=•;Branch if Greater Than or Equal to Zero (Z=1 or N XOR V=0) (Signed);TEMP ← MI  !IFF [N ⊕ V] = 0 then PC' ← PC + TEMP!!Causes a branch if the N (negative) bit and the V (overflow) bit are either both set or both clear. That is, branch if the sign of a valid twos complement result is, or would be, positive. When used after a subtract or compare operation on twos complement values, this instruction will branch if the register was greater than or equal to the memory operand.
