Name	Processor	Condition Codes	Summary	Notation	Documentation
ABX	6809	H=• N=• Z=• V=• C=•	Add B into X (Unsigned)	X' ← X + B	Add the unsigned value in B into X.
ADCA	6809	H=↕ N=↕ Z=↕ V=↕ C=↕	Add Memory Byte with Carry into A	A' ← A + M + C	Add A, the C (carry) bit and the memory byte into A.
ADCB	6809	H=↕ N=↕ Z=↕ V=↕ C=↕	Add Memory Byte with Carry into B	B' ← B + M + C	Add B, the C (carry) bit and the memory byte into B.
ADCD	6309	H=• N=↕ Z=↕ V=↕ C=↕	Add Memory Word with Carry into D	D' ← D + M:M+1 + C	Add D, the C (carry) bit and the memory word into D.
ADCR	6309	H=• N=↕ Z=↕ V=↕ C=↕	Add Register with Carry into Register	R₁' ← R₁ + R₀ + C	Add R₁, the C (carry) bit and R₀ into R₁.
ADDA	6809	H=↕ N=↕ Z=↕ V=↕ C=↕	Add Memory Byte into A	A' ← A + M	Add A and the memory byte into A.
ADDB	6809	H=↕ N=↕ Z=↕ V=↕ C=↕	Add Memory Byte into B	B' ← B + M	Add B and the memory byte into B.
ADDD	6809	H=• N=↕ Z=↕ V=↕ C=↕	Add Memory Word into D	D' ← D + M:M+1	Add D and the memory word into D.
ADDE	6309	H=↕ N=↕ Z=↕ V=↕ C=↕	Add Memory Byte into E	E' ← E + M	Add E and the memory byte into E.
ADDF	6309	H=↕ N=↕ Z=↕ V=↕ C=↕	Add Memory Byte into F	F' ← F + M	Add F and the memory byte into F.
ADDR	6309	H=• N=↕ Z=↕ V=↕ C=↕	Add Register into Register	R₁' ← R₁ + R₀	Add R₁ and R₀ into R₁.
ADDW	6309	H=• N=↕ Z=↕ V=↕ C=↕	Add Memory Word into W	W' ← W + M:M+1	Add W and the memory word into W.
AIM	6309	H=• N=↕ Z=↕ V=0 C=•	Logical AND of Immediate Byte with Memory Byte	M' ← M ∩ I	Logical AND the memory byte and the immediate byte and store in the memory byte.
ANDA	6809	H=• N=↕ Z=↕ V=0 C=•	Logical AND Memory Byte into A	A' ← A ∩ M	Logical AND A and the memory byte into A.
ANDB	6809	H=• N=↕ Z=↕ V=0 C=•	Logical AND Memory Byte into B	B' ← B ∩ M	Logical AND B and the memory byte into B.
ANDD	6309	H=• N=↕ Z=↕ V=0 C=•	Logical AND Memory Word into D	D' ← D ∩ M:M+1	Logical AND D and memory word into D.
ANDR	6309	H=• N=↕ Z=↕ V=0 C=•	Logical AND Register into Register	R₁' ← R₁ ∩ R₀	Logical AND R₁ and R₀ into R₁.
ANDCC	6809	H=↕ N=↕ Z=↕ V=↕ C=↕	Logical AND Immediate Byte into CC	CC' ← CC ∩ I	Logical AND the condition code register and the immediate byte into the condition code register.
ASL	6809	H=? N=↕ Z=↕ V=↕ C=↕	Arithmetic Shift Left of Memory Byte, Equivalant of LSL	C ←□□□□□□□□← 0	Shift all bits of the memory byte to the left and store in the memory byte. Bit zero is loaded with a zero. Bit seven is shifted into the C (carry) bit.!!- The value of the H (half-carry) bit is undefined.!- Equivalent to LSL.
ASLA	6809	H=? N=↕ Z=↕ V=↕ C=↕	Arithmetic Shift Left of A, Equivalant of LSLA	C ←□□□□□□□□← 0	Shift all bits of A one place to the left and store in A. Bit zero is loaded with a zero. Bit seven is shifted into the C (carry) bit.!!- The value of the H (half-carry) bit is undefined.!- Equivalent to LSLA.
ASLB	6809	H=? N=↕ Z=↕ V=↕ C=↕	Arithmetic Shift Left of B, Equivalant of LSLB	C ←□□□□□□□□← 0	Shift all bits of B one place to the left and store in B. Bit zero is loaded with a zero. Bit seven is shifted into the C (carry) bit.!!- The value of the H (half-carry) bit is undefined.!- Equivalent to LSLB.
ASLD	6309	H=• N=↕ Z=↕ V=↕ C=↕	Arithmetic Shift Left of D, Equivalant of LSLD	C ←□□□□□□□□□□□□□□□□← 0	Shift all bits of D one place to the left and store in D. Bit zero is loaded with a zero. Bit fifteen is shifted into the C (carry) bit.!!Equivalent to LSLD.
ASR	6809	H=? N=↕ Z=↕ V=• C=↕	Arithmetic Shift Right of Memory Byte	b7 →□□□□□□□□→ C	Shift all bits of the memory byte one place to the right and store in the memory byte. Bit seven is held constant. Bit zero is shifted into the C (carry) bit.!!The resultant value of the H (half-carry) bit is undefined.
ASRA	6809	H=? N=↕ Z=↕ V=• C=↕	Arithmetic Shift Right of A	b7 →□□□□□□□□→ C	Shift all bits of A one place to the right and store in A. Bit seven is held constant. Bit zero is shifted into the C (carry) bit.!!The resultant value of the H (half-carry) bit is undefined.
ASRB	6809	H=? N=↕ Z=↕ V=• C=↕	Arithmetic Shift Right of B	b7 →□□□□□□□□→ C	Shift all bits of B one place to the right and store in B. Bit seven is held constant. Bit zero is shifted into the C (carry) bit.!!The resultant value of the H (half-carry) bit is undefined.
ASRD	6309	H=• N=↕ Z=↕ V=• C=↕	Arithmetic Shift Right of D	b7 →□□□□□□□□□□□□□□□□→ C	Shift all bits of D one place to the right and store in D. Bit fifteen is held constant. Bit zero is shifted into the C (carry) bit.
BCC	6809	H=• N=• Z=• V=• C=•	Branch if Carry Clear (C=0), Equivalent to BHS (Unsigned)	IF C=0 then PC' ← PC + I	Test the state of the C (carry) bit and causes a branch if it is is clear.!!*Equivalent to BHS.*
